               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017879,            0.012465,            0.036371,             0.60472,             0.52015,              0.5814,             0.50766,           0.0090734,           0.0050688,            0.023516,            0.002855,            0.002855,            0.002855
                  37,            0.018199,            0.012472,            0.037154,             0.56665,             0.57354,             0.61123,             0.52281,           0.0087154,           0.0051253,            0.020819,           0.0026316,           0.0026316,           0.0026316
                  38,            0.016893,            0.012384,            0.035517,             0.63046,             0.52024,             0.61379,             0.52763,           0.0091409,           0.0051042,            0.023669,           0.0024195,           0.0024195,           0.0024195
                  39,             0.01669,            0.012421,            0.035237,             0.63689,             0.53113,              0.6384,             0.55725,           0.0095578,           0.0051477,            0.022177,           0.0022196,           0.0022196,           0.0022196
                  40,            0.017401,            0.012044,            0.034401,             0.48765,             0.61853,             0.60058,             0.51607,           0.0091542,           0.0050445,            0.021038,           0.0020327,           0.0020327,           0.0020327
                  41,            0.017504,            0.012341,            0.033219,             0.61795,             0.54683,             0.62071,             0.53515,           0.0092243,           0.0050438,            0.020662,           0.0018594,           0.0018594,           0.0018594
                  42,            0.016434,            0.012099,            0.032114,             0.59712,             0.59156,             0.64632,             0.55927,           0.0086461,           0.0050945,            0.019948,           0.0017005,           0.0017005,           0.0017005
                  43,            0.016723,            0.012056,            0.031982,             0.65294,             0.55217,             0.64516,             0.56339,           0.0084499,           0.0048684,            0.018507,           0.0015566,           0.0015566,           0.0015566
                  44,            0.016156,            0.012078,            0.030715,             0.68012,             0.60955,             0.69611,             0.61214,           0.0081917,           0.0048682,            0.016578,           0.0014283,           0.0014283,           0.0014283
                  45,            0.016345,            0.011815,            0.031088,             0.64015,             0.63015,             0.66751,             0.57637,           0.0081834,           0.0047701,            0.016815,            0.001316,            0.001316,            0.001316
                  46,            0.015829,            0.011936,            0.030254,             0.82605,             0.55942,             0.72121,             0.62841,           0.0082568,           0.0048332,            0.015469,           0.0012202,           0.0012202,           0.0012202
                  47,            0.015863,            0.012079,            0.029962,             0.82448,             0.59029,             0.74282,              0.6543,            0.008174,            0.004671,            0.014355,           0.0011414,           0.0011414,           0.0011414
                  48,            0.016018,            0.011547,            0.029568,             0.77301,             0.52765,             0.68536,             0.59677,           0.0087552,           0.0046254,            0.018314,           0.0010797,           0.0010797,           0.0010797
                  49,            0.015233,            0.011779,            0.026616,             0.72016,             0.62817,             0.71769,             0.63153,           0.0079404,           0.0047169,            0.014921,           0.0010355,           0.0010355,           0.0010355
